polarity	name	chemical formula	neutral mass	rt (min)	protocol	file	group	area	height	
neg	guanine	C5H5N5O	151.0494098	8.42	WoM	140721 M9C  Neg Rep1 Isolate_2.mzML	M9C_I02	651372.405	15581.095	
neg	guanine	C5H5N5O	151.0494098	8.42	WoM	140721 M9C  Neg Rep2 Isolate_2.mzML	M9C_I02	346534.84	8859.149	
neg	guanine	C5H5N5O	151.0494098	8.42	WoM	140721 M9C  Neg Rep3 Isolate_2.mzML	M9C_I02	214993.993	6652.685	
neg	guanine	C5H5N5O	151.0494098	8.42	WoM	140721 M9C  Neg Rep1 Isolate_3.mzML	M9C_I03	1696.797	351.164	
neg	guanine	C5H5N5O	151.0494098	8.42	WoM	140721 M9C  Neg Rep2 Isolate_3.mzML	M9C_I03	2145.545	290.572	
neg	guanine	C5H5N5O	151.0494098	8.42	WoM	140721 M9C  Neg Rep3 Isolate_3.mzML	M9C_I03	936.944	188.636	
neg	guanine	C5H5N5O	151.0494098	8.42	WoM	140721 M9C  Neg Rep1 Isolate_4.mzML	M9C_I04	2325081.566	54957.399	
neg	guanine	C5H5N5O	151.0494098	8.42	WoM	140721 M9C  Neg Rep2 Isolate_4.mzML	M9C_I04	1740689.403	37334.171	
neg	guanine	C5H5N5O	151.0494098	8.42	WoM	140721 M9C  Neg Rep3 Isolate_4.mzML	M9C_I04	871346.043	19229.138	
neg	guanine	C5H5N5O	151.0494098	8.42	WoM	140721 M9C  Neg Rep1 Isolate_5.mzML	M9C_I05	4944.048	530.848	
neg	guanine	C5H5N5O	151.0494098	8.42	WoM	140721 M9C  Neg Rep2 Isolate_5.mzML	M9C_I05	8323.102	791.755	
neg	guanine	C5H5N5O	151.0494098	8.42	WoM	140721 M9C  Neg Rep3 Isolate_5.mzML	M9C_I05	6512.401	541.272	
neg	guanine	C5H5N5O	151.0494098	8.42	WoM	140721 M9C  Neg Rep1 Isolate_6.mzML	M9C_I06	6565.235	457.032	
neg	guanine	C5H5N5O	151.0494098	8.42	WoM	140721 M9C  Neg Rep2 Isolate_6.mzML	M9C_I06	737.766	230.454	
neg	guanine	C5H5N5O	151.0494098	8.42	WoM	140721 M9C  Neg Rep3 Isolate_6.mzML	M9C_I06	1577.953	252.301	
neg	guanine	C5H5N5O	151.0494098	8.42	WoM	140721 M9C  Neg Rep1 Isolate_7.mzML	M9C_I07	651366.297	13569.216	
neg	guanine	C5H5N5O	151.0494098	8.42	WoM	140721 M9C  Neg Rep2 Isolate_7.mzML	M9C_I07	411845.405	9438.322	
neg	guanine	C5H5N5O	151.0494098	8.42	WoM	140721 M9C  Neg Rep3 Isolate_7.mzML	M9C_I07	268292.837	6778.14	
neg	guanine	C5H5N5O	151.0494098	8.42	WoM	140721 M9C  Neg Rep1 Isolate_8.mzML	M9C_I08	2082848.662	45502.056	
neg	guanine	C5H5N5O	151.0494098	8.42	WoM	140721 M9C  Neg Rep2 Isolate_8.mzML	M9C_I08	1475384.478	32221.844	
neg	guanine	C5H5N5O	151.0494098	8.42	WoM	140721 M9C  Neg Rep3 Isolate_8.mzML	M9C_I08	965371.385	22733.379	
