	rt (min)		(+)	(-)	neutral mass	formula	name		area	polarity	group	group
3	4.84	0.01	334.1612					YE_S_1	26976	pos	YE_S	YE_Syn
3	4.84	0.01	334.1612					YE_S_2	28700	pos	YE_S	YE_Syn
3	4.84	0.01	334.1612					YE_S_3	29633	pos	YE_S	YE_Syn
3	4.84	0.01	334.1612					YE_S_4	17352	pos	YE_S	YE_Syn
3	4.84	0.01	334.1612					SE_C_1		pos	SE_C	SE_Ctr
3	4.84	0.01	334.1612					SE_C_2		pos	SE_C	SE_Ctr
3	4.84	0.01	334.1612					SE_C_3		pos	SE_C	SE_Ctr
3	4.84	0.01	334.1612					SE_C_4		pos	SE_C	SE_Ctr
3	4.84	0.01	334.1612					SE_S_1		pos	SE_S	SE_Syn
3	4.84	0.01	334.1612					SE_S_2		pos	SE_S	SE_Syn
3	4.84	0.01	334.1612					SE_S_3		pos	SE_S	SE_Syn
3	4.84	0.01	334.1612					SE_S_4		pos	SE_S	SE_Syn
4	4.87	0.04	160.076		159.0687	C10H9NO	(Indole-3-acetaldehyde)	Min_C_1		pos	Min_C	Min_Ctr
4	4.87	0.04	160.076		159.0687	C10H9NO	(Indole-3-acetaldehyde)	Min_C_2		pos	Min_C	Min_Ctr
4	4.87	0.04	160.076		159.0687	C10H9NO	(Indole-3-acetaldehyde)	Min_C_3		pos	Min_C	Min_Ctr
4	4.87	0.04	160.076		159.0687	C10H9NO	(Indole-3-acetaldehyde)	Min_C_4		pos	Min_C	Min_Ctr
4	4.87	0.04	160.076		159.0687	C10H9NO	(Indole-3-acetaldehyde)	Min_S_1		pos	Min_S	Min_Syn
4	4.87	0.04	160.076		159.0687	C10H9NO	(Indole-3-acetaldehyde)	Min_S_2		pos	Min_S	Min_Syn
4	4.87	0.04	160.076		159.0687	C10H9NO	(Indole-3-acetaldehyde)	Min_S_3		pos	Min_S	Min_Syn
4	4.87	0.04	160.076		159.0687	C10H9NO	(Indole-3-acetaldehyde)	Min_S_4		pos	Min_S	Min_Syn
4	4.87	0.04	160.076		159.0687	C10H9NO	(Indole-3-acetaldehyde)	MEBM_C_1	0	pos	MEBM_C	MEBM_Ctr
4	4.87	0.04	160.076		159.0687	C10H9NO	(Indole-3-acetaldehyde)	MEBM_C_2	173	pos	MEBM_C	MEBM_Ctr
4	4.87	0.04	160.076		159.0687	C10H9NO	(Indole-3-acetaldehyde)	MEBM_C_3	0	pos	MEBM_C	MEBM_Ctr
4	4.87	0.04	160.076		159.0687	C10H9NO	(Indole-3-acetaldehyde)	MEBM_C_4	0	pos	MEBM_C	MEBM_Ctr
4	4.87	0.04	160.076		159.0687	C10H9NO	(Indole-3-acetaldehyde)	MEBM_S_1	179780	pos	MEBM_S	MEBM_Syn
4	4.87	0.04	160.076		159.0687	C10H9NO	(Indole-3-acetaldehyde)	MEBM_S_2	194864	pos	MEBM_S	MEBM_Syn
4	4.87	0.04	160.076		159.0687	C10H9NO	(Indole-3-acetaldehyde)	MEBM_S_3	173717	pos	MEBM_S	MEBM_Syn
4	4.87	0.04	160.076		159.0687	C10H9NO	(Indole-3-acetaldehyde)	MEBM_S_4	155946	pos	MEBM_S	MEBM_Syn
4	4.87	0.04	160.076		159.0687	C10H9NO	(Indole-3-acetaldehyde)	YE_C_1	1122	pos	YE_C	YE_Ctr
4	4.87	0.04	160.076		159.0687	C10H9NO	(Indole-3-acetaldehyde)	YE_C_2	2255	pos	YE_C	YE_Ctr
4	4.87	0.04	160.076		159.0687	C10H9NO	(Indole-3-acetaldehyde)	YE_C_3	1191	pos	YE_C	YE_Ctr
4	4.87	0.04	160.076		159.0687	C10H9NO	(Indole-3-acetaldehyde)	YE_C_4	1685	pos	YE_C	YE_Ctr
4	4.87	0.04	160.076		159.0687	C10H9NO	(Indole-3-acetaldehyde)	YE_S_1	590342	pos	YE_S	YE_Syn
4	4.87	0.04	160.076		159.0687	C10H9NO	(Indole-3-acetaldehyde)	YE_S_2	650199	pos	YE_S	YE_Syn
4	4.87	0.04	160.076		159.0687	C10H9NO	(Indole-3-acetaldehyde)	YE_S_3	547555	pos	YE_S	YE_Syn
4	4.87	0.04	160.076		159.0687	C10H9NO	(Indole-3-acetaldehyde)	YE_S_4	776539	pos	YE_S	YE_Syn
4	4.87	0.04	160.076		159.0687	C10H9NO	(Indole-3-acetaldehyde)	SE_C_1	1350	pos	SE_C	SE_Ctr
4	4.87	0.04	160.076		159.0687	C10H9NO	(Indole-3-acetaldehyde)	SE_C_2	1394	pos	SE_C	SE_Ctr
4	4.87	0.04	160.076		159.0687	C10H9NO	(Indole-3-acetaldehyde)	SE_C_3	2019	pos	SE_C	SE_Ctr
4	4.87	0.04	160.076		159.0687	C10H9NO	(Indole-3-acetaldehyde)	SE_C_4	251	pos	SE_C	SE_Ctr
4	4.87	0.04	160.076		159.0687	C10H9NO	(Indole-3-acetaldehyde)	SE_S_1	83580	pos	SE_S	SE_Syn
4	4.87	0.04	160.076		159.0687	C10H9NO	(Indole-3-acetaldehyde)	SE_S_2	63363	pos	SE_S	SE_Syn
4	4.87	0.04	160.076		159.0687	C10H9NO	(Indole-3-acetaldehyde)	SE_S_3	65345	pos	SE_S	SE_Syn
4	4.87	0.04	160.076		159.0687	C10H9NO	(Indole-3-acetaldehyde)	SE_S_4	70154	pos	SE_S	SE_Syn
5	5.79	0.22	205.0454					Min_C_1		pos	Min_C	Min_Ctr
5	5.79	0.22	205.0454					Min_C_2		pos	Min_C	Min_Ctr
5	5.79	0.22	205.0454					Min_C_3		pos	Min_C	Min_Ctr
5	5.79	0.22	205.0454					Min_C_4		pos	Min_C	Min_Ctr
5	5.79	0.22	205.0454					Min_S_1		pos	Min_S	Min_Syn
5	5.79	0.22	205.0454					Min_S_2		pos	Min_S	Min_Syn
5	5.79	0.22	205.0454					Min_S_3		pos	Min_S	Min_Syn
5	5.79	0.22	205.0454					Min_S_4		pos	Min_S	Min_Syn
5	5.79	0.22	205.0454					MEBM_C_1	176991	pos	MEBM_C	MEBM_Ctr
5	5.79	0.22	205.0454					MEBM_C_2	100440	pos	MEBM_C	MEBM_Ctr
5	5.79	0.22	205.0454					MEBM_C_3	197802	pos	MEBM_C	MEBM_Ctr
5	5.79	0.22	205.0454					MEBM_C_4	258102	pos	MEBM_C	MEBM_Ctr
5	5.79	0.22	205.0454					MEBM_S_1	53731	pos	MEBM_S	MEBM_Syn
5	5.79	0.22	205.0454					MEBM_S_2	57590	pos	MEBM_S	MEBM_Syn
5	5.79	0.22	205.0454					MEBM_S_3	103461	pos	MEBM_S	MEBM_Syn
5	5.79	0.22	205.0454					MEBM_S_4	181587	pos	MEBM_S	MEBM_Syn
5	5.79	0.22	205.0454					YE_C_1	56315	pos	YE_C	YE_Ctr
5	5.79	0.22	205.0454					YE_C_2	68727	pos	YE_C	YE_Ctr
5	5.79	0.22	205.0454					YE_C_3	106870	pos	YE_C	YE_Ctr
5	5.79	0.22	205.0454					YE_C_4	62001	pos	YE_C	YE_Ctr
5	5.79	0.22	205.0454					YE_S_1	6457	pos	YE_S	YE_Syn
5	5.79	0.22	205.0454					YE_S_2	9008	pos	YE_S	YE_Syn
5	5.79	0.22	205.0454					YE_S_3	5550	pos	YE_S	YE_Syn
5	5.79	0.22	205.0454					YE_S_4	5091	pos	YE_S	YE_Syn
5	5.79	0.22	205.0454					SE_C_1	20561	pos	SE_C	SE_Ctr
5	5.79	0.22	205.0454					SE_C_2	26697	pos	SE_C	SE_Ctr
5	5.79	0.22	205.0454					SE_C_3	26637	pos	SE_C	SE_Ctr
5	5.79	0.22	205.0454					SE_C_4	21818	pos	SE_C	SE_Ctr
5	5.79	0.22	205.0454					SE_S_1	3558	pos	SE_S	SE_Syn
5	5.79	0.22	205.0454					SE_S_2	6611	pos	SE_S	SE_Syn
5	5.79	0.22	205.0454					SE_S_3	4386	pos	SE_S	SE_Syn
5	5.79	0.22	205.0454					SE_S_4	4818	pos	SE_S	SE_Syn
6	6.26	0.21		313.239				Min_C_1	0	neg	Min_C	Min_Ctr
6	6.26	0.21		313.239				Min_C_2	0	neg	Min_C	Min_Ctr
6	6.26	0.21		313.239				Min_C_3	359	neg	Min_C	Min_Ctr
6	6.26	0.21		313.239				Min_C_4	0	neg	Min_C	Min_Ctr
6	6.26	0.21		313.239				Min_S_1	18358	neg	Min_S	Min_Syn
6	6.26	0.21		313.239				Min_S_2	25047	neg	Min_S	Min_Syn
6	6.26	0.21		313.239				Min_S_3	31673	neg	Min_S	Min_Syn
6	6.26	0.21		313.239				Min_S_4	36859	neg	Min_S	Min_Syn
6	6.26	0.21		313.239				MEBM_C_1	0	neg	MEBM_C	MEBM_Ctr
6	6.26	0.21		313.239				MEBM_C_2	220	neg	MEBM_C	MEBM_Ctr
